date,QQQ,SPY,IWM,TLT,GLD
D0062,0.0167935855,0.0130063667,0.0253131617,0.0020781668,0.0105188939
D0063,-0.0036338966,-0.0020010539,-0.0069565691,0.0075504104,-0.0098130682
D0064,0.0113185471,0.0066560424,0.0152086704,0.0045520265,0.0191434303
D0065,0.0106037757,0.0001192560,0.0013765901,-0.0105600491,-0.0072959574
D0066,0.0214198480,0.0169063149,0.0133999278,-0.0102247850,-0.0003219380
D0067,-0.0163837484,-0.0135873299,-0.0123798655,0.0106596081,0.0066552948
D0068,-0.0312780974,-0.0190506076,-0.0211207450,0.0075934387,0.0149471429
D0069,-0.0281176043,-0.0209160415,-0.0187834782,-0.0075265719,0.0104145026
D0070,0.0055811333,0.0074575883,0.0035058655,0.0054105489,0.0117223031
D0071,0.0037035765,0.0035391031,0.0053583470,-0.0064244391,-0.0020415233
D0072,-0.0016375731,0.0006976572,0.0068185864,-0.0067061822,-0.0017182228
D0073,0.0210072345,0.0105684783,0.0071014233,-0.0019604624,0.0078819632
D0074,0.0006345407,0.0063390714,0.0110858013,0.0071806867,0.0081317912
D0075,0.0327344303,0.0206099611,0.0099051158,0.0063308982,-0.0020348248
D0076,0.0019712729,0.0071287487,-0.0041445964,-0.0094474884,-0.0165597354
D0077,-0.0105295040,-0.0048754213,-0.0025567766,0.0040353615,-0.0122103210
D0078,-0.0315388339,-0.0203196686,-0.0258167926,0.0075925632,0.0059927309
D0079,0.0023920366,0.0049903699,0.0061101306,0.0041217286,-0.0047791391
D0080,-0.0020129897,-0.0003679485,0.0046682921,-0.0019746656,0.0049952512
D0081,-0.0032079889,-0.0025310422,0.0026771300,-0.0136039612,-0.0145196815
D0082,-0.0200649684,-0.0233007059,-0.0277993197,0.0070086809,-0.0042675079
D0083,0.0032173034,0.0069763299,0.0151520612,0.0003078704,0.0143811369
D0084,0.0017529460,-0.0024464696,-0.0057596535,-0.0115359448,-0.0112752977
D0085,-0.0044854544,0.0006796393,0.0110551464,-0.0081509470,0.0032849946
D0086,-0.0139443930,-0.0069565881,-0.0092067259,-0.0111597086,0.0057862183
D0087,-0.0079083313,-0.0074368397,-0.0147636203,-0.0042899285,0.0017471566
D0088,-0.0021464896,0.0001240917,0.0020586277,0.0103809982,-0.0006332639
D0089,-0.0199911350,-0.0083112802,-0.0126924472,0.0113009771,0.0052812856
D0090,-0.0013412049,0.0007395546,0.0131431666,0.0165530329,0.0054045478
D0091,0.0026962234,0.0065782453,0.0004687272,0.0022676795,0.0007590282
D0092,0.0048265494,-0.0004169538,-0.0100367506,-0.0167480300,-0.0148331646
D0093,-0.0058804515,-0.0050519811,0.0073393224,0.0098078657,-0.0062608605
D0094,0.0052949767,0.0017624999,0.0004669041,0.0004611167,0.0058419772
D0095,-0.0042254902,0.0019932415,-0.0065551630,0.0006825480,0.0241292547
D0096,0.0035677851,0.0087170379,0.0085911522,0.0045571857,0.0017589752
D0097,-0.0018854366,-0.0045735115,-0.0014668214,-0.0059393862,0.0046526963
D0098,0.0155168546,0.0118519271,0.0107954536,0.0013603185,-0.0014140693
D0099,0.0134416549,0.0008372902,0.0007037616,-0.0171575142,-0.0178508821
D0100,0.0193775443,0.0167014880,0.0127479423,-0.0134080254,-0.0287076971
D0101,-0.0070559493,0.0061004452,0.0068264058,-0.0017161468,0.0054891809
D0102,-0.0211566589,-0.0150691056,-0.0158405229,0.0023201652,0.0064562068
D0103,0.0052525244,0.0064593479,0.0018268292,0.0059347904,0.0168168223
D0104,-0.0129688181,-0.0123035079,-0.0039947499,0.0007708598,0.0126162199
D0105,-0.0056567780,0.0027750537,0.0022265548,0.0034920084,0.0160214721
D0106,-0.0045374771,-0.0070195334,-0.0097676657,0.0034386397,-0.0148424841
D0107,0.0093107068,0.0038124031,0.0122866561,-0.0182667161,-0.0100845748
D0108,-0.0228960612,-0.0185312969,-0.0181208848,0.0017198638,-0.0037193832
D0109,-0.0017299045,-0.0001536068,-0.0070983392,0.0051401601,0.0067790887
D0110,0.0058123147,0.0063346115,0.0082734122,0.0145718273,0.0032109811
D0111,-0.0037795829,-0.0056992875,-0.0123402329,-0.0092331836,-0.0113378741
D0112,-0.0005033475,0.0012243511,0.0012363130,-0.0051990422,0.0075991223
D0113,0.0107234869,0.0064027547,0.0029271839,0.0022994080,0.0025257085
D0114,-0.0195929669,-0.0130380119,-0.0127752745,-0.0036477204,-0.0000002974
D0115,-0.0196857540,-0.0069297409,-0.0010997413,0.0021630285,0.0042885120
D0116,-0.0329221887,-0.0265441802,-0.0302045165,-0.0038246410,0.0029552316
D0117,0.0281561186,0.0133453078,0.0105737359,-0.0028886851,0.0149389754
D0118,-0.0164643252,-0.0095974075,0.0009189345,-0.0086753063,-0.0133885065
D0119,-0.0053944453,-0.0057329034,-0.0005384253,0.0028042012,-0.0159820409
D0120,0.0076191073,0.0025348545,0.0117413659,-0.0051119620,-0.0060426961
D0121,0.0079755697,0.0086573185,0.0116171269,-0.0126877905,0.0037348471
D0122,-0.0138579718,-0.0079518834,-0.0185223387,0.0047100602,-0.0078829731
D0123,-0.0172994549,-0.0081020757,-0.0083034214,-0.0015481534,0.0127707479
D0124,-0.0056306781,-0.0034593372,-0.0021996922,-0.0034633641,0.0035828210
D0125,-0.0069167642,-0.0062506736,0.0023716895,-0.0060268246,-0.0234278049
D0126,0.0228016787,0.0262099805,0.0235146247,-0.0161743520,-0.0032001269
D0127,-0.0034904868,-0.0030339484,-0.0105443778,0.0042316066,0.0048808846
D0128,-0.0202343247,-0.0100873272,0.0013863123,0.0054407889,-0.0015395533
D0129,-0.0014917891,0.0018117360,-0.0101142714,0.0009864088,-0.0039434692
D0130,0.0260846381,0.0163935153,0.0292671696,-0.0107387170,0.0057704481
D0131,0.0049026621,-0.0005238827,0.0014745621,0.0080239001,-0.0014091346
D0132,-0.0229722078,-0.0150283769,-0.0226814804,0.0003423167,-0.0025150763
D0133,-0.0231619274,-0.0221735614,-0.0197429998,-0.0009785104,-0.0261000163
D0134,0.0113531064,0.0087128789,0.0046085413,-0.0112274302,0.0060302848
D0135,0.0053177350,0.0140334592,0.0155869753,0.0034794879,0.0014433892
D0136,0.0117956400,0.0105521422,0.0191486346,-0.0043961871,-0.0029791829
D0137,-0.0061635554,-0.0004749156,0.0083279216,-0.0013020095,-0.0031118307
D0138,0.0048288917,0.0021661481,0.0088440924,-0.0165832106,-0.0103006378
D0139,-0.0103670807,-0.0168947412,-0.0225683356,-0.0065804534,-0.0058411734
D0140,0.0159004479,0.0094160640,0.0038925734,-0.0030377676,0.0094565819
D0141,-0.0130493274,-0.0124567215,-0.0092373790,0.0001805735,0.0050364568
D0142,0.0002870637,0.0033556924,-0.0039332921,-0.0001731134,-0.0019623616
D0143,-0.0163744738,-0.0175016174,-0.0132745937,-0.0005318581,-0.0111501225
D0144,-0.0008567243,0.0044801618,-0.0113337562,-0.0112507865,-0.0113226115
D0145,0.0207262262,0.0148928998,0.0211793084,-0.0105056540,-0.0105191558
D0146,0.0066823052,0.0047150296,0.0086889799,-0.0018478369,0.0030676554
D0147,0.0026675150,0.0052481569,0.0101666739,-0.0113069209,-0.0219004105
D0148,0.0143590768,0.0147019061,0.0082220787,-0.0153459132,-0.0010146268
D0149,0.0133763957,0.0167380709,0.0198800728,-0.0033639061,-0.0065316132
D0150,0.0006348905,-0.0008140750,-0.0073100393,0.0143801699,0.0188896883
D0151,0.0162203453,0.0066564657,0.0139556795,0.0026049377,0.0056174348
D0152,0.0177949232,0.0145241355,0.0201939417,0.0029901698,0.0058299959
D0153,-0.0242423363,-0.0154151967,-0.0209539852,-0.0061103468,0.0126686828
D0154,0.0244378136,0.0220523385,0.0245650351,0.0073701607,0.0043169186
D0155,0.0032866966,-0.0025675809,0.0008964336,-0.0001480956,-0.0122905071
D0156,-0.0002333348,-0.0004178716,0.0113322595,0.0075196032,0.0027012143
D0157,0.0039240585,0.0028478525,0.0016998394,-0.0083602743,-0.0028501204
D0158,-0.0098637595,-0.0118642246,-0.0085076022,0.0040440674,-0.0167690478
D0159,-0.0012240588,0.0036584068,0.0098096735,0.0087279541,0.0034526630
D0160,-0.0112350370,-0.0120297813,-0.0099717244,0.0041363409,0.0116572879
D0161,0.0157204755,0.0097939752,0.0027859479,-0.0049775175,0.0012961505
D0162,-0.0023244201,-0.0039751967,-0.0021923446,-0.0033427405,-0.0067852617
D0163,0.0047925210,0.0014559630,0.0035869651,0.0014249452,-0.0099826061
D0164,-0.0061931846,0.0023480839,-0.0067133100,-0.0143748919,-0.0201673088
D0165,0.0008796164,0.0007967167,-0.0000047287,0.0088339636,-0.0228123225
D0166,0.0059633182,0.0108483556,0.0028174125,-0.0032996408,-0.0067524757
D0167,-0.0119182807,-0.0091493049,-0.0005196562,0.0157058255,0.0000745392
D0168,0.0268778434,0.0178342075,0.0311949830,-0.0033480608,0.0033068991
D0169,0.0055411906,0.0176779378,0.0215690726,-0.0039830233,0.0112120112
D0170,-0.0045383371,-0.0050370583,0.0008297647,0.0012114328,0.0028378305
D0171,0.0006700074,0.0020024173,0.0045502765,-0.0137201480,0.0039597124
D0172,-0.0131333194,-0.0148477527,-0.0153432237,0.0018942794,-0.0077351413
D0173,0.0119932095,0.0020385829,0.0010207047,-0.0065315912,-0.0020444593
D0174,0.0043408862,-0.0015015893,0.0041314735,-0.0000793497,-0.0174299649
D0175,-0.0266673355,-0.0174239692,-0.0208792805,0.0029158636,-0.0013352915
D0176,0.0036021560,0.0066062752,-0.0010967108,-0.0090113047,-0.0116325063
D0177,0.0044801991,0.0084871296,0.0051177312,-0.0183722187,-0.0185885952
D0178,-0.0110686133,-0.0096100757,-0.0128134689,0.0014980828,-0.0037547936
D0179,0.0150186705,0.0069455541,0.0027371831,0.0008827223,-0.0139265079
D0180,0.0058768099,0.0043823290,0.0037030898,0.0108967154,-0.0030502657
D0181,0.0290292393,0.0180956928,0.0118996276,-0.0040121277,-0.0097382194
D0182,-0.0099421663,-0.0046781536,-0.0020837790,-0.0025985403,0.0086785435
D0183,0.0165177402,0.0172069355,0.0208931683,0.0087079005,-0.0132287301
D0184,-0.0039295802,-0.0062960155,-0.0053227694,-0.0038051034,-0.0029698158
D0185,0.0265606825,0.0167246714,0.0214041463,-0.0050469818,0.0015419243
D0186,0.0005595738,0.0024210513,0.0097459374,0.0128297116,0.0066098892
D0187,0.0086465423,0.0006885332,0.0013984619,0.0052797267,0.0089419764
D0188,0.0034088257,0.0062106137,0.0090396520,0.0090493176,0.0057379077
D0189,-0.0044533248,-0.0013542958,-0.0211886489,0.0022890053,-0.0348901671
D0190,-0.0234087673,-0.0132521843,-0.0121839743,-0.0047146540,-0.0083445935
D0191,0.0194701032,0.0107026874,0.0270641206,-0.0016633060,0.0056832358
D0192,0.0228839634,0.0156393802,0.0105713759,-0.0041981680,-0.0001287106
D0193,-0.0184373510,-0.0131069089,-0.0192276930,0.0089323635,0.0005450780
D0194,-0.0034429902,-0.0026349517,-0.0014286255,0.0051713812,-0.0082417012
D0195,-0.0139588573,-0.0041983191,-0.0086949028,-0.0080000906,0.0022148415
D0196,0.0068978924,-0.0021248577,0.0007810810,0.0040126016,0.0039405840
D0197,0.0092346306,-0.0000398332,0.0036217962,-0.0037720162,-0.0053185906
D0198,0.0125409572,0.0147927449,0.0264596435,0.0095185026,0.0038276142
D0199,0.0053644325,0.0069653287,0.0075883877,0.0007564950,0.0088132762
D0200,-0.0003453898,-0.0033449542,-0.0056992958,0.0042989483,0.0002873491
D0201,0.0051910576,0.0064268177,0.0038452519,0.0050615459,0.0052291122
D0202,-0.0166367104,-0.0044677860,-0.0099537046,-0.0092678247,-0.0118272211
D0203,-0.0136741654,-0.0086360097,-0.0115342487,-0.0005549815,0.0047701917
D0204,0.0051864202,0.0048683961,0.0076584889,0.0042619232,-0.0177712552
D0205,-0.0045744490,-0.0124874892,-0.0112716103,-0.0001937074,0.0080333952
D0206,0.0169352561,0.0120608952,0.0098072837,0.0012210783,-0.0036139260
D0207,0.0004568901,0.0047166415,0.0003899088,0.0061171580,0.0080276102
D0208,-0.0127559803,-0.0039855671,-0.0010247736,0.0033827547,-0.0060041823
D0209,-0.0114312857,-0.0097593027,-0.0067640623,-0.0052380858,0.0023151093
D0210,-0.0167329236,-0.0117638682,-0.0122061484,0.0202168408,-0.0095910155
D0211,0.0208763948,0.0144079977,0.0184536785,-0.0015782855,0.0055342711
D0212,-0.0016536849,0.0053908870,0.0012775775,0.0090370574,-0.0033749521
D0213,-0.0003588216,-0.0048592424,-0.0012933823,0.0104818853,0.0010716986
D0214,-0.0022523888,-0.0062860642,-0.0073194215,-0.0117540159,-0.0117813088
D0215,0.0036191497,0.0082489311,0.0260255088,-0.0027122836,0.0155172271
D0216,0.0038542823,0.0019434551,0.0050831380,0.0002111758,0.0015578813
D0217,-0.0051827752,-0.0094496200,-0.0191369113,0.0042702806,-0.0036854766
D0218,-0.0077848252,-0.0049730166,-0.0004047212,0.0029042209,-0.0054018142
D0219,0.0174710134,0.0184586355,0.0218947049,0.0057815196,0.0152281342
D0220,0.0161378949,0.0133460798,0.0179796657,0.0022844313,-0.0078325483
D0221,0.0101873006,0.0007966134,-0.0028866755,0.0072917822,0.0086844535
D0222,0.0210895932,0.0126956719,0.0067699692,-0.0051526464,0.0004848263
D0223,0.0015708712,0.0060940070,0.0030433762,0.0028156567,-0.0078080179
D0224,0.0067170013,0.0044953768,-0.0000106451,-0.0028478090,-0.0021774393
D0225,-0.0032678077,0.0057283432,0.0036442728,-0.0004673261,-0.0184841362
D0226,-0.0119163586,-0.0088704368,-0.0141428159,0.0114013393,-0.0003617252
D0227,0.0183323494,0.0123555835,0.0138194820,-0.0029584272,0.0007402482
D0228,0.0242964502,0.0057973897,-0.0041636249,-0.0090906391,-0.0027812265
D0229,0.0100401388,0.0087353054,0.0065699770,0.0062263910,0.0116673106
D0230,0.0030269923,0.0062957397,0.0076177928,-0.0038145304,0.0067736092
D0231,0.0020091443,0.0014060998,0.0111385759,-0.0172943313,-0.0156419166
D0232,-0.0159750593,-0.0119671991,-0.0146423935,-0.0089459475,-0.0122365772
D0233,-0.0114539538,0.0033843455,0.0127325276,0.0006302049,-0.0011915667
D0234,-0.0154502799,-0.0184108718,-0.0191621505,-0.0059070572,-0.0041951935
D0235,-0.0217005781,-0.0174665036,-0.0176596297,0.0055140493,0.0033395199
D0236,-0.0178240667,-0.0078265851,-0.0149894906,0.0071772346,0.0005130250
D0237,-0.0185987473,-0.0134777579,-0.0123071195,0.0071868983,-0.0008763776
D0238,0.0217046505,0.0187181721,0.0178982533,0.0029677700,0.0205191643
D0239,0.0276459532,0.0127856280,0.0094253943,0.0062256658,-0.0080220899
D0240,-0.0178525068,-0.0137361646,-0.0120432949,0.0018220979,-0.0067399750
D0241,-0.0088675160,-0.0088486063,-0.0148838246,0.0172594626,0.0049116590
D0242,0.0127655158,0.0062920554,0.0062373940,-0.0070996688,-0.0255501102
D0243,-0.0186212230,-0.0200579944,-0.0350922166,-0.0078910703,0.0071365229
D0244,-0.0001396369,0.0056636459,0.0074542835,0.0066246216,-0.0057818443
D0245,0.0077374682,0.0083511636,0.0045938045,0.0032091921,0.0066678133
D0246,-0.0071398930,-0.0095209702,-0.0171676388,0.0006962713,0.0014314880
D0247,-0.0105071851,-0.0066754943,-0.0037885575,0.0063682099,0.0154820887
D0248,0.0181734813,0.0075814758,0.0205086935,-0.0058351339,0.0099836454
D0249,0.0014183966,-0.0007971773,-0.0123634579,-0.0023420329,-0.0160067466
D0250,0.0138816978,0.0158351512,0.0105787488,0.0007299349,-0.0050197519
D0251,-0.0082337892,-0.0019016203,-0.0033200256,0.0142678443,-0.0014260239
D0252,0.0143256903,0.0098899244,0.0160152702,-0.0046470152,0.0000938959
D0253,-0.0011244735,-0.0043239795,0.0003943404,0.0049921992,0.0063789422
D0254,0.0217765323,0.0207063567,0.0188348103,0.0003439024,-0.0034759139
D0255,0.0007998647,-0.0020262286,0.0089655016,0.0032006177,-0.0006977130
D0256,0.0170181890,0.0016880266,-0.0089794233,0.0017228627,-0.0004850534
D0257,0.0039470500,-0.0031586712,-0.0022548945,0.0136270316,0.0099031281
D0258,0.0028281021,0.0000073378,-0.0021702267,-0.0161436531,-0.0011683800
D0259,0.0121934850,0.0011440688,-0.0013799633,-0.0109562794,-0.0117526464
D0260,0.0012173762,-0.0082755581,-0.0029067300,0.0048641625,-0.0021875814
D0261,-0.0339031980,-0.0264836700,-0.0203031125,-0.0153294025,-0.0083597884
D0262,-0.0158770832,-0.0067723708,-0.0129412583,0.0052808721,0.0056151485
D0263,0.0259238886,0.0161619041,0.0205685925,-0.0141263558,0.0099111270
D0264,-0.0100634715,-0.0089654558,-0.0095610161,-0.0101317836,-0.0008722292
D0265,0.0138840127,0.0104598174,0.0007869454,-0.0032835225,0.0064853288
D0266,-0.0255502874,-0.0213605184,-0.0168601130,0.0055503169,0.0032517522
D0267,0.0262463662,0.0193230965,0.0251749403,0.0168460372,0.0039199376
D0268,-0.0105814253,-0.0049614243,-0.0031978570,-0.0018577962,-0.0099613367
D0269,0.0324876252,0.0227857046,0.0200630240,0.0021839594,0.0013854823
D0270,-0.0030284170,0.0005731661,-0.0085527601,0.0027549404,0.0178699202
D0271,0.0069368056,0.0029727575,0.0003159155,-0.0041986338,-0.0032078156
D0272,-0.0047597159,0.0009953701,-0.0113763838,0.0066474569,-0.0026790539
D0273,0.0057001958,-0.0011350861,0.0086366594,0.0085946065,0.0111129616
D0274,-0.0205163375,-0.0097011134,-0.0091391871,-0.0082088467,-0.0023024047
D0275,0.0055281636,0.0061466088,0.0072834529,0.0018395136,0.0149564111
D0276,0.0174674234,-0.0010776368,-0.0001406587,-0.0048326944,-0.0181217341
D0277,0.0017814450,0.0067374127,-0.0011285120,0.0023764389,-0.0075372756
D0278,-0.0088356349,0.0007925304,-0.0044226136,0.0051004409,-0.0160300362
D0279,0.0262854859,0.0199378499,0.0201949234,0.0009302112,-0.0108165804
D0280,0.0168645261,0.0097003552,0.0097200170,-0.0059778889,-0.0057797604
D0281,0.0101034202,0.0078225751,0.0125953307,-0.0008753228,0.0058479139
D0282,-0.0053285075,0.0063933951,-0.0057707940,0.0102819597,0.0151935804
D0283,-0.0113336205,0.0024607625,0.0066743377,0.0102121225,0.0038191054
D0284,-0.0025342811,-0.0024936729,-0.0000575381,0.0108013462,0.0039396566
D0285,-0.0121552308,-0.0042490115,0.0003105108,0.0073721968,0.0088462950
D0286,-0.0032785205,-0.0061421848,-0.0115589397,-0.0121498493,-0.0015072518
D0287,-0.0006803010,-0.0022931740,-0.0215239332,-0.0104592527,0.0063574260
D0288,-0.0087346601,-0.0040478869,-0.0141086457,0.0113167823,0.0000381424
D0289,0.0044957725,0.0132458059,0.0219663019,-0.0009712271,-0.0029032334
D0290,-0.0040354393,-0.0003160762,-0.0016983069,-0.0020162352,0.0133184505
D0291,-0.0011066098,0.0094637269,0.0084418738,0.0143518874,0.0079038213
D0292,0.0138215696,0.0059485075,0.0017401136,0.0008892220,0.0093532968
D0293,0.0010340932,-0.0048895873,-0.0129930256,-0.0116090430,-0.0202076630
D0294,0.0019935149,0.0063327030,0.0055999797,-0.0161263481,-0.0041114457
D0295,-0.0017799915,0.0081285229,-0.0029658344,-0.0022485390,0.0159317385
D0296,0.0067123041,0.0069534808,0.0077607259,0.0019334835,0.0085726685
D0297,-0.0107422354,-0.0030885193,-0.0135083467,0.0037281220,0.0016935743
D0298,-0.0080648289,-0.0052933245,-0.0100231656,-0.0068766509,-0.0054443007
D0299,-0.0148236539,-0.0081994536,-0.0171008520,0.0069472179,-0.0107432540
D0300,-0.0073719194,-0.0074842251,0.0009945098,0.0039197440,-0.0011800692
D0301,0.0073877923,-0.0043368657,-0.0028168890,0.0127661070,0.0029975938
D0302,0.0014173785,0.0034209995,0.0089757533,-0.0139466498,-0.0173943535
D0303,0.0033905538,-0.0008362994,0.0083964963,-0.0022992039,-0.0178187044
D0304,-0.0170968306,-0.0231858246,-0.0242907755,-0.0002017377,-0.0068947692
D0305,0.0154280485,0.0154490219,0.0146170053,-0.0170848434,0.0039732788
D0306,0.0081727598,0.0067938475,0.0135549853,-0.0088597513,0.0181524959
D0307,-0.0128202284,-0.0050146812,-0.0175655878,-0.0053709117,0.0118162170
D0308,-0.0031395412,0.0017202447,0.0024377674,0.0002845203,0.0133027765
D0309,-0.0028035925,-0.0095733602,-0.0139879167,0.0033895311,0.0026627243
D0310,-0.0212411955,-0.0170004863,-0.0219746962,-0.0002156111,-0.0148061289
D0311,-0.0082322145,-0.0085042676,-0.0036532724,0.0072185983,-0.0003197495
D0312,-0.0049569704,-0.0025446879,-0.0084246339,-0.0078703853,-0.0108884654
D0313,-0.0083214930,-0.0104732143,-0.0093499030,0.0061722116,-0.0145210962
D0314,0.0008244417,-0.0003414849,0.0020240659,0.0000052991,-0.0132564353
D0315,-0.0170188807,-0.0109252257,-0.0055079191,-0.0131739553,0.0001298967
D0316,0.0169628018,0.0105157646,0.0153813498,-0.0070982833,-0.0011984089
D0317,-0.0219875594,-0.0246062575,-0.0186050746,-0.0046048885,-0.0074697676
D0318,-0.0187380931,-0.0183742971,-0.0200550608,-0.0033140129,0.0007238658
D0319,0.0067477835,0.0059114752,0.0076889371,0.0109803603,-0.0067436032
D0320,-0.0002851352,0.0048748141,0.0123539846,-0.0090875206,-0.0032120316
D0321,0.0192979797,0.0149487150,0.0172355981,-0.0037607904,-0.0025687784
D0322,0.0044705312,0.0019025333,0.0020345428,-0.0000220270,-0.0060869586
D0323,0.0078508104,0.0180271670,0.0050149459,0.0018508009,-0.0050955479
D0324,0.0084782380,0.0058390729,0.0113489755,0.0079425866,0.0045157074
D0325,0.0161649605,0.0003665005,0.0133907439,0.0004177260,0.0105033851
D0326,-0.0164296983,-0.0143187161,-0.0141023963,0.0019700125,0.0016439000
D0327,0.0155061579,0.0024793789,0.0110428117,-0.0022100011,-0.0019060912
D0328,-0.0199115503,-0.0107378052,-0.0284149342,0.0066518819,-0.0145798968
D0329,0.0012170475,0.0003581987,0.0081195086,-0.0008172687,-0.0058394203
D0330,-0.0065446630,0.0013935863,0.0035516197,-0.0009667760,-0.0015340598
D0331,-0.0212428425,-0.0121125630,-0.0255219686,0.0078501326,0.0008836545
D0332,0.0335562330,0.0172159285,0.0196082321,0.0081533513,0.0141247139
D0333,-0.0091724016,-0.0049346478,-0.0058053483,0.0035488149,-0.0060465130
D0334,-0.0007616740,-0.0074342280,-0.0056614532,0.0029008562,-0.0024371814
D0335,-0.0219063110,-0.0099105657,-0.0098156309,-0.0015589988,-0.0033068307
