date,rate,spread_2s10s
2023-12-02,4.22188679,0.47060796
2023-12-03,4.16886223,0.47692164
2023-12-04,4.16883919,0.47577122
2023-12-05,4.10616647,0.49734578
2023-12-06,4.07146322,0.48723496
2023-12-07,4.08640389,0.49790211
2023-12-08,4.14348559,0.49905385
2023-12-09,4.17259631,0.49804712
2023-12-10,4.05599278,0.46371343
2023-12-11,4.07070291,0.46210069
2023-12-12,4.07361718,0.43838350
2023-12-13,4.09364553,0.44868649
2023-12-14,4.17376807,0.49933442
2023-12-15,4.06858890,0.49259305
2023-12-16,4.03827016,0.51099951
2023-12-17,4.06752415,0.53130248
2023-12-18,3.98754644,0.50399212
2023-12-19,4.06168279,0.51774133
2023-12-20,4.07954561,0.50891108
2023-12-21,4.12121344,0.49740536
2023-12-22,4.09138615,0.51366937
2023-12-23,4.13129127,0.49957953
2023-12-24,4.18357513,0.48663033
2023-12-25,4.19344093,0.50159903
2023-12-26,4.20328570,0.52814521
2023-12-27,4.21483567,0.52762717
2023-12-28,4.16942131,0.54031070
2023-12-29,4.16035083,0.50708134
2023-12-30,4.15111947,0.50302129
2023-12-31,4.16885347,0.51103909
2024-01-01,4.21732413,0.49065985
2024-01-02,4.16209711,0.50310723
2024-01-03,4.15422821,0.50750397
2024-01-04,4.22699527,0.51195190
2024-01-05,4.18746625,0.53612164
2024-01-06,4.14438286,0.56188763
2024-01-07,4.15310248,0.53296734
2024-01-08,4.19393392,0.51655787
2024-01-09,4.19259246,0.52648784
2024-01-10,4.25733374,0.51790549
2024-01-11,4.29775851,0.55972090
2024-01-12,4.33703334,0.58181157
2024-01-13,4.36149319,0.56142053
2024-01-14,4.47464791,0.54259470
2024-01-15,4.45967427,0.51271111
2024-01-16,4.35466730,0.51900093
2024-01-17,4.43161361,0.50378885
2024-01-18,4.40440096,0.48713429
2024-01-19,4.40581869,0.45764770
2024-01-20,4.46748176,0.47571631
2024-01-21,4.38251956,0.45769960
2024-01-22,4.31597798,0.43632075
2024-01-23,4.23256059,0.39354987
2024-01-24,4.19044184,0.40142041
2024-01-25,4.21060803,0.40540522
2024-01-26,4.23481508,0.42036396
2024-01-27,4.24635122,0.45068870
2024-01-28,4.17307433,0.45381092
2024-01-29,4.05552264,0.44479519
2024-01-30,4.05770017,0.40817459
2024-01-31,4.03347275,0.40941393
2024-02-01,4.05617883,0.41602425
2024-02-02,4.09082464,0.42048925
2024-02-03,4.09686036,0.37649401
2024-02-04,4.13402206,0.40273598
2024-02-05,4.14419316,0.41529553
2024-02-06,4.16935054,0.40555336
2024-02-07,4.13234201,0.39820363
2024-02-08,4.12202873,0.35496207
2024-02-09,4.13069171,0.36131381
2024-02-10,4.17054806,0.35297519
2024-02-11,4.14911981,0.32740775
2024-02-12,4.17378238,0.37022955
2024-02-13,4.15873603,0.40331381
2024-02-14,4.15127475,0.41812574
2024-02-15,4.19137875,0.41646543
2024-02-16,4.08954490,0.38801053
2024-02-17,4.02364764,0.38660646
2024-02-18,3.94908806,0.39595681
2024-02-19,3.83256839,0.39253824
2024-02-20,3.80020874,0.39074901
2024-02-21,3.83976235,0.39384885
2024-02-22,3.82705826,0.36769999
2024-02-23,3.83868392,0.38489149
2024-02-24,3.89489661,0.40605670
2024-02-25,3.96251272,0.39549511
2024-02-26,3.95941576,0.37920501
2024-02-27,4.02769374,0.42487883
2024-02-28,4.03204017,0.44870686
2024-02-29,3.98973145,0.39632459
2024-03-01,3.96002583,0.39303945
2024-03-02,3.88617698,0.36961291
2024-03-03,3.84276395,0.34873060
2024-03-04,3.82636291,0.33287209
2024-03-05,3.86837381,0.33322507
2024-03-06,3.95596344,0.32973492
2024-03-07,3.88708684,0.30072127
2024-03-08,3.90790032,0.27649555
2024-03-09,3.85663004,0.23104598
2024-03-10,3.88184964,0.22919563
2024-03-11,3.87644246,0.23524025
2024-03-12,3.78584899,0.25426400
2024-03-13,3.83451367,0.27578868
2024-03-14,3.80580873,0.27776866
2024-03-15,3.78095257,0.26869850
2024-03-16,3.72947078,0.31558508
2024-03-17,3.69933143,0.29476135
2024-03-18,3.72375664,0.26463469
2024-03-19,3.71699369,0.25438788
2024-03-20,3.73626860,0.25863106
2024-03-21,3.75702110,0.28822951
2024-03-22,3.82564600,0.27756622
2024-03-23,3.81017769,0.24176586
2024-03-24,3.73799256,0.25793283
2024-03-25,3.79409626,0.24795207
2024-03-26,3.77950595,0.22448085
2024-03-27,3.83757528,0.20460995
2024-03-28,3.85840362,0.20780998
2024-03-29,3.85322534,0.16927616
2024-03-30,3.87216406,0.20224391
2024-03-31,3.97126210,0.19885790
2024-04-01,4.07569871,0.20018986
2024-04-02,4.07843065,0.22353368
2024-04-03,4.08568939,0.20723040
2024-04-04,4.13881298,0.20882179
2024-04-05,4.09503589,0.20716579
2024-04-06,4.11079998,0.21794984
2024-04-07,4.10840928,0.27183500
2024-04-08,4.12308045,0.24747458
2024-04-09,4.08007508,0.24590268
2024-04-10,3.99957365,0.29234632
2024-04-11,3.89562538,0.27219800
2024-04-12,3.84062303,0.30745270
2024-04-13,3.81919545,0.30874107
2024-04-14,3.80627780,0.33091233
2024-04-15,3.90533516,0.34263284
2024-04-16,3.96173114,0.34893806
2024-04-17,3.91386359,0.32862754
2024-04-18,3.93215019,0.32479032
2024-04-19,3.91240650,0.33927971
2024-04-20,3.89901139,0.33015639
2024-04-21,3.90930171,0.30571246
2024-04-22,3.94124619,0.28373446
2024-04-23,3.92481362,0.31454592
2024-04-24,3.97890407,0.34914054
2024-04-25,3.92184832,0.33262970
2024-04-26,3.92293769,0.33155404
2024-04-27,4.05396218,0.35824301
2024-04-28,4.06461612,0.36389287
2024-04-29,4.13584868,0.36453236
2024-04-30,4.13909704,0.37727470
2024-05-01,4.16684776,0.35200968
2024-05-02,4.16235324,0.33623631
2024-05-03,4.15220525,0.35242978
2024-05-04,4.11161457,0.35612295
2024-05-05,4.13209078,0.36552368
2024-05-06,4.08808538,0.36671109
2024-05-07,4.12059249,0.33752277
2024-05-08,4.17382520,0.34621152
2024-05-09,4.19048947,0.37406004
2024-05-10,4.17425471,0.38452637
2024-05-11,4.19529924,0.39967792
2024-05-12,4.17789251,0.37800691
2024-05-13,4.22305067,0.37161798
2024-05-14,4.12901054,0.36078208
2024-05-15,4.11090753,0.34889822
2024-05-16,4.00998080,0.33459640
2024-05-17,3.93491048,0.34702558
2024-05-18,4.00394569,0.35849577
2024-05-19,4.04879697,0.37631223
2024-05-20,4.01223598,0.41503371
2024-05-21,3.93677018,0.41772072
